#Command: ./FaaSterConfig.py ../openFaas/matmul2.yml -d 1000 -nt r5.large c5.large m5.large c7g.large -c .25 .5 1 -m 248 500 15000 -to 120 -con 20Function: matmul2
#Function argument(s): 1000
#Experiment cost: $0.08997796062644445
#Total time 184.431526, tradeoff: $0.5, timeout: $120.0, concurrency: 20
#Recommendation: CPU :1.0, Mem: 248.0, NodeType: m5.large which had a final time of: 0.5041s and expected cost of $0.00000446, with a combined z of -0.990
#Failures: 47.22%
#CPU: [0.25, 0.5, 1.0]
#Mem: [248.0, 500.0, 15000.0]
#NodeType: ['r5.large', 'c5.large', 'm5.large', 'c7g.large']
CPU,Mem,NodeTypeStr,time,cost,costPerHour,startupTime,timeAndCost
1.0,248.0,m5.large,0.504084,4.4550392578124995e-06,0.03181640625,3.448387,-0.9898632098232751
1.0,248.0,c5.large,0.564884,4.672697340223525e-06,0.029779052734375,5.009619,-0.9381314046633837
1.0,500.0,c7g.large,0.661008,5.161334489746094e-06,0.02810980224609375,3.386912,-0.8543655669449244
1.0,500.0,c5.large,0.662214,6.079029851277669e-06,0.0330474853515625,4.742323,-0.8408351665679422
0.5,248.0,c5.large,1.089832,4.9943981526692704e-06,0.016497802734375,5.247237,-0.5128015593786821
1.0,15000.0,c7g.large,0.62165,3.24769502919515e-05,0.1880753173828125,45.486195,-0.5119698835133146
0.5,248.0,c7g.large,1.11949,4.363783499145508e-06,0.0140328369140625,4.600187,-0.49765371187139773
0.5,500.0,c7g.large,1.142845,5.33738051071167e-06,0.016812927246093748,3.4114,-0.46559799634591537
0.5,248.0,r5.large,1.207472,7.003175463867189e-06,0.020879516601562502,3.690576,-0.3909723425297655
0.5,500.0,r5.large,1.487807,9.129662857818603e-06,0.02209075927734375,3.199042,-0.1370758618115086
0.5,500.0,c5.large,1.583686,8.695419499715168e-06,0.0197662353515625,5.421902,-0.06614083902219053
0.5,15000.0,r5.large,1.216989,3.102824279937745e-05,0.0917852783203125,95.19939,-0.054434667261786446
0.5,15000.0,c7g.large,1.095887,5.3813665802103684e-05,0.1767784423828125,49.910249,0.16039621314343958
0.25,500.0,m5.large,2.14644,6.6552216796875e-06,0.011162109375,3.457897,0.3571687477303747
0.5,15000.0,c5.large,1.182341,6.82574689924452e-05,0.207830810546875,61.256245,0.42745641065604023
0.25,500.0,c7g.large,2.304384,7.1464643164062495e-06,0.011164489746093749,4.599966,0.49054016998859745
0.25,15000.0,r5.large,2.217253,5.0468083192443845e-05,0.0819415283203125,84.223869,1.013753847582886
0.25,15000.0,c7g.large,2.194019,0.00010429513393971761,0.1711300048828125,51.474258,1.7320237019140365
0.25,15000.0,c5.large,2.255077,0.00012602760001458063,0.201190185546875,58.275743,2.078503118718714
0.25,248.0,r5.large,,,0.0110357666015625,,
1.0,248.0,r5.large,,,0.0405670166015625,,
0.25,500.0,r5.large,,,0.01224700927734375,,
1.0,500.0,r5.large,,,0.04177825927734375,,
1.0,15000.0,r5.large,,,0.1114727783203125,,
0.25,248.0,c5.large,,,0.009857177734375,,
0.25,500.0,c5.large,,,0.0131256103515625,,
1.0,15000.0,c5.large,,,0.221112060546875,,
0.25,248.0,m5.large,,,0.00931640625,,
0.5,248.0,m5.large,,,0.01681640625,,
0.5,500.0,m5.large,,,0.018662109375,,
1.0,500.0,m5.large,,,0.033662109375,3.477934,
0.25,15000.0,m5.large,,,0.11736328125,,
0.5,15000.0,m5.large,,,0.12486328125,,
1.0,15000.0,m5.large,,,0.13986328125,,
0.25,248.0,c7g.large,,,0.0083843994140625,,
1.0,248.0,c7g.large,,,0.0253297119140625,4.876623,
